Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Объем,Вес (с упаковкой),Цвет,Подключение к водопроводу,Индикатор уровня воды,Заваривание чая/кофе,Камбузное оборудование
https://cdn.entero.ru/mp@2x/7b/8e/7b8e1ed68a37a114b155b7a795bcc62d.jpg;https://cdn.entero.ru/mp@2x/76/cc/76cc52207feb2df8f4d9dc950262594f.jpg;https://cdn.entero.ru/mp@2x/65/51/655101fd5b20002b88816669bc7716a1.jpg;https://cdn.entero.ru/mp@2x/a5/1e/a51e63894442e50f70509a17365264ec.jpg;https://cdn.entero.ru/mp@2x/0d/45/0d45e7fe81ee683d1bbb45922e734413.jpg;https://cdn.entero.ru/mp@2x/8e/ff/8efffcf5d0a3a0bb77f0f7fcde5d843f.jpg;https://cdn.entero.ru/mp@2x/d2/c9/d2c92e29b5a5b4e06a1e3641db3ab33c.jpg;https://cdn.entero.ru/mp@2x/ec/e8/ece8f08d6e8bcf436056c81cdd689e57.jpg,Электрокипятильник проточный Bravilor Bonamat HWa 21 (220В),8.060.190.31002,138569,RUB,Да,Bravilor Bonamat,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/198067,"<p>Кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198067""><b class=""b"">Bravilor Bonamat HWa 21 </b></a>используется на предприятиях общественного питания и торговли для приготовления горячей воды, предназначенной для супа, каши, чая и других горячих блюд и напитков. Модель оснащена дозирующим краном и поддоном для сбора капель. Корпус выполнен из нержавеющей стали.</p>

<p><b class=""black"">Особенности:</b></p>

<ul>
<li>Автоматический долив воды</li>
<li>Два режима подачи воды</li>
<li>Настройка температуры воды от 82°С до кипения</li>
<li>ЖК-дисплей с четким программированием</li>
<li>Подходит для наполнения термосов и посуды больших объемов</li>
<li>Режим экономии электроэнергии</li>
<li>Защита от выкипания</li>
<li>Интеллектуальный режим ECO оптимизирует потребности в горячей воде</li>
<li>Изоляционный материал котла снижает потребление энергии за счет минимизации потерь тепла</li>
<li>Привлекательный дизайн</li>
</ul>

<p><b class=""black"">Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Номинальный: 20,7 л</li>
<li>Рабочий: 18 л</li>
</ul>
</li>
<li>Высота крана: 200 мм</li>
<li>Минимальное давление воды: 1 бар</li>
<li>Подключение к водопроводу: 3/4""</li>
</ul>",198067,проточный,220 В,2.83 кВт,568 мм,242 мм,635 мм,16.1 кг,Нидерланды,1,575x340x795 мм,54,https://entero.ru/manuals/230825/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20HWa%2021%20%28220%D0%92%29%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/234283/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20HWa%2021.pdf;https://entero.ru/manuals/499107/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20HWa%2021%20%28220%D0%92%29%20%28EN%20FR%20DE%20NL%29.pdf;https://entero.ru/manuals/499108/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20HWa%2021%20%28220%D0%92%29.pdf;https://entero.ru/manuals/499109/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,144343,,,30 л/ч,20.7 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/55/b4/55b43af62fa09a9e96264c084ea4b52f.jpg;https://cdn.entero.ru/mp@2x/e4/6f/e46f9ee4e8465af00700ecd77ecbcca4.jpg,"Кипятильник Marco Ecoboiler UC4 2,4",1000740,171829,RUB,Да,Marco,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/83516,"<p>Кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83516""><b class=""b"">Marco Ecoboiler UC4</b></a> используется на предприятиях общественного питания и торговли, в офисах и гостиницах для нагрева большого количества воды. Залив воды осуществляется автоматически. Подача воды происходит через специальный кран, располагаемый на стойке. Бойлер выполнен из нержавеющей стали.</p>

<p>В комплект поставки кран не входит.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Точность и стабильность температуры</li>
<li>Моментальная подача воды</li>
<li>Простота и удобство чистки</li>
<li>Стильный дизайн</li>
<li>Низкое энергопотребление в режиме ожидания (до 80 Вт)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 133 порций/час</li>
<li>Габариты в упаковке: 150х400x570 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Кран для подачи воды Uber font с 2 кнопками</li>
<li>Кран для подачи воды Uber font укороченный</li>
<li>Кран для подачи воды Uber font рециркулируемый</li>
<li>Кран для подачи воды Tubular</li>
</ul>",83516,проточный,220 В,2.4 кВт,135 мм,394 мм,585 мм,,Ирландия,,,0,https://entero.ru/manuals/58561/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Marco%20Ecoboiler%20UC4%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/58560/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/58556/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/58555/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Marco%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,11 кг,24 л/ч,4 л,,нерж. сталь,Да,,,
https://cdn.entero.ru/mp@2x/97/b8/97b8f8b1a9eb1c74a8e968581f136763.jpg;https://cdn.entero.ru/mp@2x/4f/df/4fdf8b429ed1d87950f28870252a5706.jpg;https://cdn.entero.ru/mp@2x/a9/a4/a9a444eb67ca3120a39c34bcb0cddcc5.jpg;https://cdn.entero.ru/mp@2x/2e/d1/2ed169c72c0f30f02986840a1050d6b1.jpg,Кипятильник Rosso WB-10DB,Кипятильник Rosso WB-10DB,5749,RUB,Да,Rosso,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/230202,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/230202"">Rosso WB-10DB</a></b> предназначен для кипячения и подогрева воды на предприятиях общественного питания и торговли. Настольная модель оснащена закрытым ТЭНом, прочным герметичным краном и термостатом, что позволяет довести воду до кипения и затем снизить ее температуру до необходимого безопасного уровня, что особенно важно при использовании на предприятиях с самообслуживанием. Корпус выполнен из нержавеющей стали, кран - из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крышка с замком, выдерживающая наклон до 15°</li>
<li>Световые индикаторы режимов работы: нагрев / сохранение тепла</li>
<li>Усиленная противоскользящая ручка</li>
<li>Двойная защита от сухого хода</li>
<li>Защита от скачков напряжения</li>
<li>Максимальная температура нагрева воды 110 ℃</li>
</ul>

<p><br>
</p>",230202,накопительный,220 В,1.8 кВт,270 мм,270 мм,410 мм,4 кг,Китай,1,280x280x420 мм,0,https://entero.ru/manuals/276985/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20WB-10DB.docx;https://entero.ru/manuals/345119/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,4.5 кг,,6 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/f5/f4/f5f45f542f5f34d04e065210c2556207.jpg;https://cdn.entero.ru/mp@2x/90/e9/90e93389240e6c3e6a3e863260e18444.jpg;https://cdn.entero.ru/mp@2x/4a/b6/4ab6f65e02da50c39519817fc59bb0fa.jpg,Кипятильник Enigma VIC-WBK12BLACK,Кипятильник Enigma VIC-WBK12BLACK,6901,RUB,Да,Enigma,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/294267,"<p>Кипятильник заливного типа (автономный) <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294267"">Enigma VIC-WBK12BLACK</a></b> предназначен для непрерывного нагрева воды и последующего поддержания ее в горячем состоянии на предприятиях общественного питания и торговли. Модель оснащена терморегулятором и съемным ТЭНом. Цельный корпус изготовлен из нержавеющей стали 304, кран для розлива - из пищевой нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева в отсутствии воды и от отключения питания</li>
<li>Скрытая нагревательная трубка большой мощности, ускоряющая кипение воды</li>
<li>Сигнальные индикаторы нагрева и поддержания в горячем состоянии​</li>
<li>Сменная нагревательная пластина и съемное днище</li>
<li>Шкала уровня воды</li>
<li>Выключатель с индикатором​</li>
<li>Прочный герметичный кран </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура нагрева: от 30 до 110 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",294267,накопительный,220 В,1.8 кВт,265 мм,265 мм,440 мм,,Китай,,,0,https://entero.ru/manuals/357141/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Enigma%202023.pdf;https://entero.ru/manuals/506577/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,9585,,,,12 л,,черный,,Да,,
https://cdn.entero.ru/mp@2x/12/42/12424237e408bf83e9c7a2c958470c38.jpg;https://cdn.entero.ru/mp@2x/7e/d9/7ed911867600b2ae5ea5721bfc805c39.jpg;https://cdn.entero.ru/mp@2x/de/64/de6407ab59422ab5c9202c54c7c498cb.jpg;https://cdn.entero.ru/mp@2x/04/06/0406fcdeb9594488790742ff9eae0f0d.jpg;https://cdn.entero.ru/mp@2x/26/ec/26ecf73c0016a69f3285a7b73c3d20ea.jpg;https://cdn.entero.ru/mp@2x/cd/b0/cdb092bfe0330b8de6f9a1a1ab5e9ad9.jpg;https://cdn.entero.ru/mp@2x/50/f6/50f621326dc42e21f4b35d3b427d7b92.jpg;https://cdn.entero.ru/mp@2x/f9/62/f9627fb021826d71f1745e3fc0be9482.jpg;https://cdn.entero.ru/mp@2x/da/c4/dac44df87355b753f10890967886ddaf.jpg;https://cdn.entero.ru/mp@2x/50/f4/50f41518289cba884a759dcf21a25472.jpg;https://cdn.entero.ru/mp@2x/48/cf/48cf762e42568a2fe32e68ee6ea5bd28.jpg;https://cdn.entero.ru/mp@2x/3f/31/3f31f39126ee2e2bf4b02a912806c577.jpg;https://cdn.entero.ru/mp@2x/7f/04/7f047ed37d96f4d57a7277fbe5946411.jpg;https://cdn.entero.ru/mp@2x/9a/82/9a824d5ae06c3638a155b57d453d55c9.jpg;https://cdn.entero.ru/mp@2x/12/09/1209bbad644926bd4e0cbd1929bcad3b.jpg;https://cdn.entero.ru/mp@2x/15/0c/150c7af12d310e50b02fbf8dee755b15.jpg,Кофеварка-перколятор Foodatlas WB-DWC10L,Кофеварка-перколятор Foodatlas WB-DWC10L,6905,RUB,Да,Foodatlas,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/345148,"<p>Кофеварка-перколятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345148"">Foodatlas WB-DWC10L</a> </b>предназначен для подогрева воды и приготовления горячих напитков на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена кабелем питания с вилкой, краном для розлива, крышкой с грибовидной рукояткой, боковыми транспортировочными рукоятками и электромеханическим управлением. Корпус цилиндрической формы, крышка и фильтр выполнены из высококачественной нержавеющей стали, фурнитура – из черного пластика, упаковка – картонная коробка.</p>

<p>В комплект поставки входит фильтр для заваривания кофе или чая.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Регулировка температуры </li>
<li>Автоматическое поддержание заданной температуры</li>
<li>Светодиодные индикаторы активации нагрева и поддержания заданной температуры</li>
<li>Выключатель колыбельного типа с интегрированным индикатором питания и прзрачной защитной крышкой</li>
<li>Защита от «сухого нагрева» </li>
<li>Двойные стенки для энергосбережения и минимизации нагрева наружной поверхности</li>
<li>Скрытый нагревательный элемент</li>
<li>Съемные кран и индикатор уровня внешнего типа для удобства обслуживания</li>
<li>Термоизолированные рукоятки</li>
<li>Надежная фиксация крышки в пазах рукояток</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки температуры: от 0 до 100 °С</li>
</ul>",345148,накопительный,220 В,0.95 кВт,220 мм,220 мм,510 мм,4.4 кг,Китай,1,305x305x465 мм,0,https://entero.ru/manuals/421514/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20WB-DWC10L.pdf;https://entero.ru/manuals/421517/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,,,4.2 кг,,10 л,,нерж. сталь,,Да,Да,
https://cdn.entero.ru/mp@2x/a0/f5/a0f56efda0edaacb28e645df7e9f46e3.jpg,Кипятильник Eletto R33,ER33,7451,RUB,Да,,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/269069,"<p>Кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269069""><b class=""b"">Eletto R33</b></a> предназначен для кипячения воды и поддержания ее в подогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена терморегулятором, световыми индикаторами работы и сливным краном. Цилиндрический корпус с одинарной стенкой выполнен из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Открытый нагревательный элемент</li>
<li>Автоматический режим поддержания тепла</li>
<li>Визуальный контроль уровня заполнения или расходования воды</li>
<li>Отметка максимального уровня воды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 0,7 мм</li>
<li>Габариты в упаковке: 300х300х440 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",269069,накопительный,220 В,1.5 кВт,305 мм,300 мм,440 мм,,Турция,,,0,https://entero.ru/manuals/331670/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Eletto%20R33.doc,,,,,9 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/c7/45/c745086966314a5c3e977065c777a3c8.jpg;https://cdn.entero.ru/mp@2x/b7/9c/b79c421cd7c7b1a95edb302b0dab2997.jpg;https://cdn.entero.ru/mp@2x/75/b7/75b7d0af7d6429e0b9f5c5e07a22521c.jpg;https://cdn.entero.ru/mp@2x/92/b9/92b9b8e2b32907dc73deefb97a59bbb4.jpg,Электрокипятильник Airhot WBA-15,Электрокипятильник Airhot WBA-15,7466,RUB,Да,Airhot,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/121244,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121244"">Airhot WBA-15</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена автоматическим контролем уровня и температуры воды, аварийным термостатом, индикатором нагрева и закрытым ТЭНом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 95 ºС</li>
<li>Объем полезный: 13,9 литров</li>
<li>Время нагрева полного объема воды: 45 мин</li>
</ul>",121244,накопительный,220 В,1.5 кВт,290 мм,290 мм,450 мм,3.7 кг,Китай,1,330x330x502 мм,0,https://entero.ru/manuals/126193/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WBA-15.pdf;https://entero.ru/manuals/481974/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,2.52 кг,,16 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/43/ac/43ac1e145472742e5d08ebf82ba68a98.jpg,Электрокипятильник Hurakan HKN-HVB15M,Электрокипятильник Hurakan HKN-HVB15M,7483,RUB,Да,Hurakan,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/282577,"<p>Электрокипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/282577"">Hurakan HKN-HVB15M</a></b> используется на предприятиях общественного питания и торговли для нагрева воды и последующего поддержания ее заданной температуры. Корпус выполнен из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Двойные стенки</li>
<li>Контроль уровня и температуры воды</li>
<li>Индикаторы нагрева</li>
<li>​Металлический кран</li>
<li>Закрытый съемный тэн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты с ручками и краном: 340х335х515 мм</li>
<li>Габариты в упаковке: 340х340х540 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",282577,накопительный,220 В,1.8 кВт,265 мм,265 мм,515 мм,4.5 кг,Китай,1,340x340x540 мм,18,https://entero.ru/manuals/413271/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HVB15M.pdf;https://entero.ru/manuals/347956/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HVB15M.pdf;https://entero.ru/manuals/413272/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/413273/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495232/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,3.5 кг,,15 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/34/c4/34c44542fd1ed6fa56ca745966f1dab8.jpg;https://cdn.entero.ru/mp@2x/5e/5c/5e5c7330208e650220b5e961b626a365.jpg;https://cdn.entero.ru/mp@2x/c7/2b/c72b69089f2352defaf5214925ed51db.jpg;https://cdn.entero.ru/mp@2x/fb/a3/fba32888e7e9a25697eb25c0ffa1dda1.jpg;https://cdn.entero.ru/mp@2x/c6/e8/c6e89787b4526128ec397cd933a02d82.jpg,Электрокипятильник Airhot WBD-20,Электрокипятильник Airhot WBD-20,7608,RUB,Да,Airhot,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/122749,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122749"">Airhot WBD-20</a></b> используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена индикатором уровня воды, аварийным термостатом, индикатором нагрева и заменяемым закрытым ТЭНом. Корпус с двойными стенками выполнен из нержавеющей стали AISI 201/304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 ºС</li>
<li>Расстояние от каплесборника до крана: 130 мм</li>
<li>Объем полезный: 15,2 литров</li>
<li>Время нагрева полного объема воды: 45 мин</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",122749,накопительный,220 В,1.5 кВт,340 мм,320 мм,530 мм,4.4 кг,Китай,1,340x340x580 мм,0,https://entero.ru/manuals/129488/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WBD-20.pdf,,,3.35 кг,,20 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/de/0b/de0b0892f2836915a6650119adf24f0a.jpg;https://cdn.entero.ru/mp@2x/0a/7d/0a7d6d2c5cee25db4b277e99926a98c8.jpg;https://cdn.entero.ru/mp@2x/da/03/da03596541ff2453fdc50230beeb288c.jpg;https://cdn.entero.ru/mp@2x/54/ea/54ea662194fc576a0b6eb99e386ac609.jpg,Электрокипятильник Airhot WBA-20,Электрокипятильник Airhot WBA-20,8004,RUB,Да,Airhot,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/121245,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121245"">Airhot WBA-20</a> </b>используется на предприятиях общественного питания и торговли, в офисах, отелях и т.д. для нагрева большого количества воды. Модель оснащена автоматическим контролем уровня и температуры воды, аварийным термостатом, индикатором нагрева и закрытым ТЭНом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 95 ºС</li>
<li>Объем полезный: 16,5 литров</li>
<li>Время нагрева полного объема воды: 55 мин</li>
</ul>",121245,накопительный,220 В,1.5 кВт,290 мм,290 мм,520 мм,4.6 кг,Китай,1,320x320x550 мм,0,https://entero.ru/manuals/126194/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WBA-20.pdf;https://entero.ru/manuals/481980/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3.55 кг,,20 л,,нерж. сталь,,Да,,
https://cdn.entero.ru/mp@2x/9a/21/9a214c156410c2155b40e3af0d5bb2dc.jpg,Кипятильник Crazy Pan CP-WBH25,Кипятильник Crazy Pan CP-WBH25,8433,RUB,Да,,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/295333,"<p>Кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295333"">Crazy Pan CP-WBH25</a> </b>предназначен для нагрева воды и последующего поддержания ее заданной температуры на предприятиях общественного питания и торговли. Модель оснащена высокомощным нагревательным элементом, позволяющим быстро нагревать воду и прочным герметичным краном для наливания жидкости. Внутренние стенки корпуса выполнены из нержавеющей стали AISI 304, внешние - AISI 201.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перепадов напряжения</li>
<li>Противоскользящая ручка крышки с защитой от нагрева</li>
<li>Съемная нагревательная пластина и подставка</li>
<li>Крышка снабжена замком</li>
<li>Встроенная защитная оболочка для удобства чистки прибора</li>
<li>Двойные стенки</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Температурный режим: от 30 до 110 °С</li>
<li>Полезный объем: 15 л</li>
</ul>",295333,накопительный,220 В,1.8 кВт,265 мм,265 мм,565 мм,5 кг,Китай,1,330x330x600 мм,0,https://entero.ru/manuals/474564/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-WBH25.docx,,,3.8 кг,,25 л,,,,Да,,
https://cdn.entero.ru/mp@2x/25/c3/25c3fbeafe99b4334e6187d4a4da4268.jpg,Кипятильник Eletto R35,ER35,8609,RUB,Да,,Профоборудование,Тепловое,Кипятильники,https://entero.ru/item/269072,"<p>Кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269072""><b class=""b"">Eletto R35</b></a> предназначен для кипячения воды и поддержания ее в подогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена терморегулятором, световыми индикаторами работы и сливным краном. Цилиндрический корпус с одинарной стенкой выполнен из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Открытый нагревательный элемент</li>
<li>Автоматический режим поддержания тепла</li>
<li>Визуальный контроль уровня заполнения или расходования воды</li>
<li>Отметка максимального уровня воды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 0,7 мм</li>
<li>Габариты в упаковке: 340х320х470 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",269072,накопительный,220 В,2 кВт,325 мм,320 мм,470 мм,,Турция,,,0,https://entero.ru/manuals/331671/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Eletto%20R35.doc,,,,,15 л,,нерж. сталь,,Да,,
